tit,tex,tex_en,tok_en,sentiments,blobpol,blobsub,sianeg,sianeu,siapos,siacomp
Reincidencia,"Él era muro, ella conducía con los ojos vendados.  Tras el choque despertaba a kilómetros de su abrazo, sobresaltada. Una noche en vela que la recibía sin compañía alguna.  Más café y otra cucharada de azúcar rebosando culpabilidad.  Y otro día que parecía nunca terminar.  Más muros, más volantes y un precipicio sin explorar. Vértigo. Nausea. Otro plato dando vueltas en el microondas.  Sobras recalentadas. Vaya alegoría de sus noches...   Mientras friega los cacharros se da cuenta que ya no cree ni en quizás ni en posibilidades. Son esos sueños de carretera, su realidad.","He was wall, she drove her blindfolded eyes.After the crash she woke up at kilometers of her embrace, startled.One night in sail that he received her without any company.More coffee and another spoonful of sugar overflowing guilt.And another day that seemed never to end.More walls, more flyers and an unexplored precipice.Vertigo.Nausea.Another dish circling in the microwave.Reheated leftovers.Go allegory of the nights of it ... while she scrubs the pots she realizes that she no longer believes neither in perhaps nor in possibilities.They are those dreams of road, the reality of it.",wall drive blindfold eye crash wake kilometer embrace startle night sail receive company coffee spoonful sugar overflow guilt day end wall flyer unexplored precipice vertigo nausea dish circle microwave reheated leftover allegory night scrub pot realize long believe possibility dream road reality,"[-0.05, 0.4, 0.147, 0.764, 0.089, -0.4215]",-0.05,0.4,0.147,0.764,0.089,-0.4215
"Vuelve a irte, pero vuelve.","Vuelve a irte, pero vuelve.   Déjate olvidado un recuerdo y ven a buscarlo cuando me encuentre perdida. Haz camino al borrar las huellas y recórreme de fin a principio. Da la vuelta a las manecillas del reloj, que gire el mundo en torno a tu abrazo.   Vuelve a irte, pero quédate cerca.   Déjame desdibujar tu espalda en el horizonte, que mueran las horas a tus pies… que ya se hará de noche otro día.   Vuelve a irte, pero llévame contigo.   Andemos, naveguemos, volemos y naufraguemos en el centro de la ciudad. Ábrete paso y entremos juntos.   Vuelve.  Publicación original en el Nº2 de la revista digital BetaStream (Inspirado por un tweet, original de mi antigua cuenta @mismenesteres)","Go back torte, but come back.Be forgotten a memory and come and look for it when I find myself loss.Make a walk by erasing the traces and becoming an end to principle.Turn around the hands of the clock, turning the world around your hug.Go back, but stay close.Let me blink your back on the horizon, who die the hours at your feet ... that will be done at night another day.Go back torte, but take me with you.We walk, let us go, fly and shipwrecked in the center of the city.Open yourself and enter together.Returns.Original publication at Nº2 of the Digital Betastream magazine (inspired by a Tweet, original of my old account @Mismmenesters)",torte come forget memory come look find loss walk erase trace end principle turn hand clock turn world hug stay close let blink horizon die hour foot night day torte walk let fly shipwreck center city open enter return original publication digital betastream magazine inspire tweet original old account,"[0.22142857142857147, 0.4571428571428572, 0.127, 0.644, 0.229, 0.7579]",0.22142857142857147,0.4571428571428572,0.127,0.644,0.229,0.7579
Ponle título,"Llevo ya cosa de dos meses dándole vueltas a este post, y es que, sin duda, es el post más especial que he tenido que escribir en lo que llevo de vida bloggera.  Siempre he pensado que escribir solo trae cosas buenas; algo que he comprobado, desde que lanzo mis letras a la red, con todas las alegrías que he recibido a cambio. Pero hay detalles que te marcan más que otros, y éste que os vengo a compartir me ha llenado tanto que me ha desbordado. No exagero; para mí esto es la materialización de una de mis mayores ilusiones.  A finales de noviembre, uno de los más grandes tuiteros que desfilan por mi TL, @tabsgreen, me mandó un mensaje diciéndome que había compuesto una canción basándose en mis tuits. Yo que he aprendido más de poesía con la canción de autor que con los libros, pero que carezco de toda aptitud musical, vi un sueño hecho realidad en esas palabras.  No creo que haya mejor manera de presentaros este tema (después de darle mil vueltas a cómo hacerlo) que con un enorme y directo GRACIAS, TABS, por nuestra canción.  Tabs, me pediste que fuera yo la que le pusiera título, y me ha resultado casi tan difícil como escribir este post... así aque también tiraré de la sencillez para esto. La canción se titula ""Tantas alas de ti""  (Seguro que encontráis más de una referencia a la canción de autor que tanto me influye a la hora de escribir, y me encanta que sea algo que haya quedado reflejado en este maravilloso tema)  Os dejo con el audio (grabado con el móvil)    Y con la letra, para que se entienda mejor.  Llámame por mi nombre Quémame por la piel Estas ganas de verte ya no me dejan ver Es tarde para dejar que mañana llegue Te leo entre las líneas que surcan por mis manos En tu universo nunca sobra espacio Hace muchos tropiezos que no caminamos A este lado del mar hay un eco De este deseo de desayunarte a besos Me quema el tiempo mientras te espero Tener tantas alas de ti vuelan mi cuerpo El mundo sólo se hace habitable en tu abrazo Hace que no te leo mil hojas en blanco Si te dejaras liar te fumaba los labios Tengo la piel en braille La carne de canción Y un nudo en la garganta que a tu cama me ata Y ganas de beberte que dejan resaca A este lado del mar hay un eco De este deseo de desayunarte a besos Me quema el tiempo mientras te espero Tener tantas alas de ti vuelan mi cuerpo  Esta canción está sacada de los tweets de @estersinatxe Compuesta por @tabsgreen 20/11/2013.","I've been thinking about this post, and it's definitely, it's the most special post I've had to write about what I've been in bloggera. I have always thought that writing it only brings good things; Something that I have proven, since I threw my letters to the network, with all the joys that I have received in return. But there are details that mark you more than others, and this one I am going to share has filled me so much that it has overflowed me. I'm not exaggerating; For me this is the materialization of one of my greatest illusions. At the end of November, one of the greatest tweeters who parade for my TL, @tabsgreen, he sent me a message telling me that he had composed a song based on my tips. I have learned more from poetry with the song of author than with books, but I lack all musical fitness, I saw a dream come true in those words. I do not think there's better way to introduce you this topic (after giving a thousand laps to do it) than with a huge and direct thanks, Tabs, for our song. Tabs, you asked me to be the one who put title, and it has been almost as difficult as writing this post ... So I will also pull the simplicity for this. The song is titled ""So many wings of you"" (sure you are more than one reference to the author song that influences so much when writing, and I love that it is something that has been reflected in this wonderful topic) I leave you With the audio (recorded with the mobile) and with the letter, so that it is better understood. Call me by my name Quémame for the skin You want to see you no longer see me is late to let tomorrow I'll read you between the lines that come across my hands in your universe Never pleasing space makes many trips that we do not walk to this side of sea ​​there is an echo of this desire to have breakfast to kisses I burn the time while I wait for you to have so many wings of you fly my body the world only becomes habitable in your hug makes you not read a thousand blank leaves if you stop liar the lips I have the skin in braille the meat meat and a knot in my throat that at your bed is tied and desire to drink that they leave surf to this side of the sea there is an echo of this desire to have breakfast to kisses it burns time while I hope I have so many wings of you fly my body This song is taken from @estersinatxe tweets composed by @tabsgreen 20/11/2013.",think post definitely special post write bloggera think write bring good thing prove throw letter network joy receive return detail mark go share fill overflow exaggerate materialization great illusion end november great tweeter parade tl send message tell compose song base tip learn poetry song author book lack musical fitness see dream come true word think well way introduce topic give thousand lap huge direct thank tabs song tab ask title difficult write post pull simplicity song title wing sure reference author song influence write love reflect wonderful topic leave audio record mobile letter well understand skin want long late let tomorrow read line come hand universe pleasing space make trip walk sea echo desire breakfast kiss burn time wait wing fly body world habitable hug make read thousand blank leave stop liar lip skin braille meat meat knot throat bed tie desire drink leave surf sea echo desire breakfast kiss burn time hope wing fly body song take tweet compose,"[0.3003571428571429, 0.6171825396825398, 0.071, 0.579, 0.35, 0.9957]",0.3003571428571429,0.6171825396825398,0.071,0.579,0.35,0.9957
Me debes un otoño,"Siempre le fui fiel a la piel ajena, a las mesas de escritorio, al café en vena, a los lechos aleatorios.  Nuca pretendí ser tu prioridad, ni siquiera una promesa sin cumplir. Quizás me quede en este quizás... Quizás sólo haya camino para huir.  Pero te seguiré, errando, allá donde te equivoques. Jugando con la ventaja de ser la perdedora... Camarera de esta barra libre de consumaciones que al pisar la calle no se convierte en señora.  Corazón de piedra, papel o tijera. Mirada que derrumba las estatuas de sal. Tacto crujiente, voz de hoja seca. Treinta y tantos besos escondidos en un dedal.  Admitamos que hace ya seis vidas que se nos hizo tarde, vistiendo este domingo con las galas de la resaca. Ya sólo me debes un otoño sentados en el banco del parque, fumándonos las sobras de una noche de banderas blancas.  Ester Sinatxe.","I was always faithful to the skin of others, to the desktops, to the coffee in vein, to the random beds.Nape I pretended to be your priority, not even a promise without fulfilling.Maybe I stayed in this maybe ... Maybe there's only way to flee.But I will follow you, errando, wherever you make mistakes.Playing with the advantage of being the loser ... waitress of this cum-free bar that when stepping on the street does not become a lady.Heart of stone, paper or scissors.Looking to collapse the Salt Statues.Crunchy touch, dry leaf voice.Thirty, so many kisses hidden in a thimble.We admit that she already has six lives that we were late, wearing this Sunday with the galas of the surf.You only owe me an autumn sitting on the park bench, smoking the leftovers of a night of white banners.Esther Sinatxe.",faithful skin desktop coffee vein random bed nape pretend priority promise fulfil maybe stay maybe maybe way flee follow errando mistake play advantage loser waitress cum free bar step street lady heart stone paper scissor look collapse salt statues crunchy touch dry leaf voice thirty kiss hide thimble admit life late wear sunday gala surf owe autumn sit park bench smoke leftover night white banner esther sinatxe,"[-0.09333333333333332, 0.5, 0.143, 0.65, 0.207, 0.6597]",-0.09333333333333332,0.5,0.143,0.65,0.207,0.6597
De poeta sólo tengo una cremallera rota,"De poeta sólo tengo una cremallera rota y una tumba por estrenar  No tengo versos, ni ramos, ni amor perdido. Ni siquiera tengo una puta musa.  Tengo cuadernos vacíos, muchos, y alguno empezado que se traspapeló. Tengo bolsas de basura con tus recuerdos y listas de nombres: Alejandro Jorge Jordi (¿Casualidad? No lo creo) Nacho Israel, Iván… Javier  Me completan obsesiones y hago puzzles con las palabras. Me completan obsesiones. Obsesiones. Obsesiones… También tengo deseos… y obsesiones …y obsesiones  Pero de poeta no tengo más que una colección de bolígrafos gastados, mordidos y olvidados en algún autobús. Y 1001 palabras que no me atreveré a recitar.  Quizás tengo más de lo que creo pero aún menos de lo que me gustaría.  De poeta me sobra un café sin azúcar y 500 noches masturbándome. ¿O fueron 19 días sin follar?  También tengo insomnio y a Lorca en la mesilla de noche.  De poeta lo veo todo en prosa. A ciegas lo veo todo mejor. Borracha y fumada. A ciegas me callo lo que no quieres oír. A ciegas huelo el otoño en tu piel.   A ciegas escribo para creerme poeta y creerme, que por lo menos, algo tengo.   Ester Sinatxe.  Imagen: detalle de la foto de Alberto G en Flickr.","From poet I only have a broken zipper and a tomb for brand new I have no verses, nor bouquet, no love lost. I do not even have a whore muse. I have empty notebooks, many, and some starting that it was transferred. I have garbage bags with your memories and names: Alejandro Jorge Jordi (coincidence? I do not think so) Nacho Israel, Ivan ... Javier completes obsessions and I make puzzles with the words. They complete obsessions. Obsessions Obsessions ... I also have wishes ... and obsessions ... and obsessions but a poet I do not have more than a collection of spent pens, bitten and forgotten on a bus. And 1001 words that I will not dare to recite. Maybe I have more than I think but even less than what I would like. From poet I have a sugar-free coffee and 500 nights masturbating. Or were 19 days without fucking? I also have insomnia and Lorca on the bedside table. I see everything in prose. Next I see everything better. Drunk and smoked. Blind I shut up what you do not want to hear. Blind I smell the autumn on your skin. Blind I write to believe me poet and believe me, at least, something I have. Esther Sinatxe. Image: Detail of Alberto G's photo on Flickr.",poet broken zipper tomb brand new verse bouquet love lose whore muse notebook start transfer garbage bag memory name alejandro jorge jordi coincidence think nacho israel ivan javier complete obsession puzzle word complete obsession obsession obsessions wish obsession obsession poet collection spend pen bite forget bus word dare recite maybe think like poet sugar free coffee night masturbate day fucking insomnia lorca bedside table prose well drunk smoke blind shut want hear blind smell autumn skin blind write believe poet believe esther sinatxe image detail alberto g photo flickr,"[-0.1603305785123967, 0.6231404958677687, 0.302, 0.564, 0.134, -0.9538]",-0.1603305785123967,0.6231404958677687,0.302,0.564,0.134,-0.9538
Se fue,"Hizo las maletas y creó un agujero negro en el armario, se oyó el eco de un portazo en su cajón de las bragas. Su fantasma se vistió de gala con las sábanas aún manchadas de su último gemido...  Se abandonó al deseo ajeno, se abandonó al enajenado paso del tiempo, se abandonó a la búsqueda de otras manos.  Rompió el llanto de un taconazo contra el espejo y se pintó de rojo los besos por dar. Quemó los restos de las primeras cenas y las sobras de las caricias que nunca tropezaron en su piel.  Se fue, se fue sobre otros cuerpos y se le corrió hasta el rímel. Se corrió sola. Se corrió como nunca lo había hecho.  Se corrió sin ti.  Ester Sinatxe.","He made the bags and created a black hole in the closet, the echo of a slam was heard in his drawer of the panties.His ghost dressed as a gala with the sheets still stained from his last moan ... She abandoned himself to the desire of others, he abandoned the alienado step of time, was abandoned to the search for other hands.She broke the cry of a heel against the mirror and painted the kisses for giving.She burned the remains of the first dinners and the leftovers of the caresses that never stumbled on his skin.He left, he went on other bodies and ran to Romel.She ran alone.She ran as she had never done it.She ran out of you.Esther Sinatxe.",bag create black hole closet echo slam hear drawer pantie ghost dress gala sheet stain moan abandon desire abandon alienado step time abandon search hand break cry heel mirror paint kiss give burn remain dinner leftover caress stumble skin leave go body run romel run run run esther sinatxe,"[-0.10833333333333334, 0.26666666666666666, 0.29, 0.55, 0.16, -0.7717]",-0.10833333333333334,0.26666666666666666,0.29,0.55,0.16,-0.7717
Hoy en Madriz,"Madriz. Tu voz. Lápiz. (De labios) (Los tuyos dibujándome) Tu voz de lápiz tachando las calles de Madriz en mi hoja de ruta.  Sentarme en la luna de Valencia a contemplar como se perfila la distancia entre tu cuerpo y mis dedos. Entre mis imposibles . . . y tus ganas.  Y podría seguir escribiendo versos pero prefiero lamerme las heridas con tu saliva. Podría hacerte recordar estas curvas en las que me arrancaste los mejores besos justo antes de estrellarnos. Podríamos escuchar una y mil veces Salitre 48 pero nunca sonaría nuestra canción.  - ¿Cuál es nuestra canción? - Justo esa que nunca llegamos a bailar - Eso no tiene nada de justo - Pero aprieta  Y podría seguir escribiendo acrósticos en tu nombre, y rimando mi falta de ritmo con tus prisas por no llegar nunca a ninguna parte. Y podría seguir escribiendo.  Pero a veces la mejor poesía toma forma de…","MadrizYour voice.Pencil.(Lips) (yours drawing up) Your pencil voice clinging on the streets of Madriz on my roadmap.To sit on the moon of Valencia to contemplate how the distance between your body and my fingers is outlined.Among my impossible...And your desire.And I could continue writing verses but I prefer to lick me the wounds with your saliva.I could make you remember these curves in which you started the best kisses just before crashing us.We could listen to one and a thousand times salitre 48 but our song would never sound.- What is our song?- Right that we never got to dance - that has nothing right - but he smells and could continue writing halftors in your name, and rhyming my lack of rhythm with your hurry for never reaching anywhere.And I could continue writing.But sometimes the best poetry takes shape ...",madrizyour voice draw pencil voice cling street madriz roadmap sit moon valencia contemplate distance body finger outline impossible desire continue write verse prefer lick wound saliva remember curve start good kiss crash listen thousand time salitre song right get dance right smell continue write halftor rhyme lack rhythm hurry reach continue write good poetry take shape,"[0.26095238095238094, 0.6542857142857142, 0.075, 0.738, 0.187, 0.7506]",0.26095238095238094,0.6542857142857142,0.075,0.738,0.187,0.7506
Sheena talks to rainbows,"Foto original: http://www.flickr.com/photos/adactio/2802074441/  Habla y no dice nada, tan callada.  Mira y nos ve, mira y nos aleja.  Se calla y dice que el silencio pesa.  Hablan las paredes por los codos, dibuja sombras chinas sobre las sábanas.  Persigue la canica del vecino de arriba cada noche, como quien persigue encontrar una madriguera. La persigue de puntillas y la escucha perderse.  Y el silencio ya no pesa. Y el silencio la eleva. Y el silencio le habla.  Nos vuelve a mirar y se esconde entre nuestras palabras.  Habla y sentencia. Sube la música y se cree una punk rocker.","Original photo: http://www.flickr.com/photos/adactio/2802074441/ Speak and do not say anything, so quiet.She looks and sees us, look and walk away.She shuts down and says that silence weighs.She speaks the walls through the elbows, she draws Chinese shadows on the sheets.She pursues the marble of the next neighbor every night, as she pursues to find a burrow.She chases her on tiptoe and listens to lose yourself.And silence no longer weighs.And the silence elevates it.And her silence speaks.She looks back and she hides between our words.She talks and sentence.She goes up music and she creates a punk Rocker.",original photo speak quiet look see look walk away shut say silence weigh speak wall elbow draw chinese shadow sheet pursue marble neighbor night pursue find burrow chase tiptoe listen lose silence long weigh silence elevate silence speak look hide word talk sentence go music create punk rocker,"[0.08125, 0.37083333333333335, 0.083, 0.81, 0.107, 0.0772]",0.08125,0.37083333333333335,0.083,0.81,0.107,0.0772
Treinta y tantos otoños.,"Hoy se sienta, altiva, en el mismo banco en el que tartamudeaba con 15 años. Mira de frente a su niñez, al recuerdo de sus muñecas en la estantería, y ríe con una risa que es crujido.  En septiembre siempre celebra su año nuevo. Han recorrido vendavales sus venas, y ha sido tormenta cada octubre de sus años vividos. Y sus noviembres llueven arrastrándola en torrente hasta que diciembre se deshace en sus manos.  Tiene raíces fuertes y piel de corteza, que tatuó con un corazón flechado por cada hombre que se enredó en sus verdes ramas.  Hoy ya no tiembla cuando el viento la desnuda y cubre de recuerdos sus piernas. Mira sin miedo al frío, desafiante, empuñando un termo de café. Saca de su bolso un regalo de cumpleaños en forma de libro y deja que se marchiten las hojas en blanco.","Today he feels, alert, in the same bank he stuttered with 15 years.She looks in front of her childhood, the memory of her dolls on her bookshelf, and laughs with a laugh that is crunched.In September she always celebrates her new year.They have traveled the veins of it, and it has been storm every October of the years lived.And the fumes of her rain crawling in torrent until December gets rid of her hands.She has strong roots and crusty skin, which she tattooed with a circled heart for every man who tangled into the green branches of her.Today she no longer trembles when the wind naked and covers her legs of her legs.She looks without fear of cold, challenging, holding a coffee thermos.She pulls out from her bag a birthday gift in the form of a book and lets leave the leaves on white.",today feel alert bank stutter year look childhood memory doll bookshelf laugh laugh crunch september celebrate new year travel vein storm october year live fume rain crawl torrent december gets rid hand strong root crusty skin tattoo circle heart man tangle green branch today long tremble wind naked cover leg leg look fear cold challenging hold coffee thermo pull bag birthday gift form book let leave leave white,"[0.08691460055096417, 0.45344352617079886, 0.132, 0.6, 0.268, 0.9349]",0.08691460055096417,0.45344352617079886,0.132,0.6,0.268,0.9349
Menú del día,"A este orgullo le falta azúcar, las mentiras me las sirve crudas. Que salga sangre al pinchar, que los versos me hacen burla cuando pido hambre para llevar.   Tragicomedia de primero y todo el tiempo en un segundo. De postre, me miras el culo. Perdonde, perdone señor camarero ¿Me envuelve las sobras para el perro?  Y al volver a casa nos encontraremos rimas tirándose por la ventana y estrofas que en la cama asesinan los últimos besos","To this pride lacks sugar, the lies served me raw.Let blood come out when I click, that the verses make me mockery when I ask for a hunger to carry.First tragicomedia and all the time in a second.Dessert, you look at me my ass.Perdrend, forgive Mr. Waiter, is leftovers surrounding me for the dog?And when we go home we will find rhymes by pulling through the window and stanzas that in bed kill the latest kisses",pride lack sugar lie serve raw let blood come click verse mockery ask hunger carry tragicomedia time second dessert look ass perdrend forgive waiter leftover surround home find rhyme pull window stanzas bed kill late kiss,"[-0.17692307692307693, 0.35384615384615387, 0.295, 0.559, 0.146, -0.8176]",-0.17692307692307693,0.35384615384615387,0.295,0.559,0.146,-0.8176
Tic Tac,"Somos carne de Cupido medio hecha, de sentimientos crudos. Manzanas deseando que la flecha atraviese el corazón de otro niño inocente.  Crecimos en el barrio marginal de Nunca Jamás. Esperamos al otro lado del espejo a que le cortaran la cabeza a la reina descorazonada. Dejamos plantada a la única rosa que habitó en nuestro planeta. Olvidamos los sueños que despiertan al cerrar el libro.  Maquillaje y tacones de aguja del reloj. Tic tac de piel de cocodrilo. Calendarios de arena y ceniza.  Solo somos, y seremos, la promesa de un polvo.","We are half-made cupid meat, of raw feelings.Apples wishing the arrow traverse the heart of another innocent child.We grew up in the marginal neighborhood of never ever.We wait on the other side of the mirror to cut off the head of the disheartening queen.We left planted to the only rose that inhabited on our planet.We forgot the dreams that awaken when closing the book.Makeup and clock needle heels.Tic tac of crocodile skin.Sand and ash calendars.We are only, and we will be, the promise of a dust.",half cupid meat raw feeling apple wish arrow traverse heart innocent child grow marginal neighborhood wait mirror cut head disheartening queen leave plant rise inhabited planet forget dream awaken close book makeup clock needle heel tic tac crocodile skin sand ash calendar promise dust,"[0.03418803418803418, 0.4427350427350427, 0.148, 0.649, 0.202, 0.4404]",0.03418803418803418,0.4427350427350427,0.148,0.649,0.202,0.4404
Tan único,"Texto inspirado en esta imagen de Pau Pérez ""Rendido al atardecer"". Podéis visitar su trabajo de aerografía en La factoría de los sueños de aire.   Un café frío, tu barba, la misma terraza.  Otro atardecer, tan único.  Cuadernos, risas, versos y otras debilidades.  500 cantautores y 19 poetas.  Mi pluma, tu guitarra y el deseo cobrando vida; un corazón que palpita entre las manos, que se resbala buscándole 3 tropiezos a la piedra. Mi sonrisa te muerde el labio. Tu boca nos habla de la luz que se va quemando en la piel, de los edificios que dejan pasar el último suspiro del sol. Y mis dedos leen en el braille de tus cuarteadas líneas, las mil y una mentiras que te quedan por cantarme. Vuelves a burlarte de que mi olfato se empeñe en encontrar el otoño en tu cuello, tu pecho, en tus caricias...  Yo me rindo.  Banderas blancas, puzzles y rutina.  Un atardecer tan único, que siempre queremos repetir.   Ester Sinatxe.","Text inspired by this image of Pau Pérez ""surrendered at sunset"".You can visit the air-spring work of him in the factory of air dreams.A cold coffee, your beard, the same terrace.Another sunset, so unique.Notebooks, laughter, verses and other weaknesses.500 singer-songwriters and 19 poets.My pen, your guitar and desire giving life;A heart that beats between the hands, which is slipped by looking for 3 stretches to the stone.My smile bites your lip.Your mouth tells us about the light that is going burned on the skin, from the buildings that let the last sigh stop.And my fingers read in the braille of your forty lines, the thousand and a lies that you have to sing.You go back to mocked that my smell insisted on finding the autumn on your neck, your chest, in your caresses ... I rind.White banners, puzzles and routine.A sunset so unique, we always want to repeat.Esther Sinatxe.",text inspire image pau surrender visit air spring work factory air dream cold coffee beard terrace sunset unique notebook laughter verse singer songwriter poet pen guitar desire give heart beat hand slip look stretch stone smile bite lip mouth tell light going burn skin building let sigh stop finger read braille line thousand lie sing mock smell insist find autumn neck chest caress rind white banner puzzle routine sunset unique want repeat esther sinatxe,"[0.1416666666666667, 0.6333333333333333, 0.056, 0.722, 0.222, 0.9136]",0.1416666666666667,0.6333333333333333,0.056,0.722,0.222,0.9136
El extremo más duro,"""De acero soy de la cabeza a los pies"" canturrea y yo me vuelvo loca por forjarle hasta los huesos.  Pasa de largo y se me enredan las ganas en los dedos. Agradezco haber comprado pilas hace unos días porque esta noche voy a dejar que su imagen me recorra hasta deshacerme.  ""Y cuando ríe, el mundo entero me da igual"" canturreo recordando las birras compartidas, sabiendo lo reales que son las manos y lo ilusa que es la piel.  Se derrama una de las cervezas, acabo empapada; y con más imaginación que nunca, me lamo las heridas y el deseo de saborearlo.  Imagen original por Malte Sörensen “Y su calor es como el sol en un cama fría de una noche de un invierno” suena en mi vieja radio y se dibujan en mi sonrisa todos los mordiscos que nos debemos.  Mejor dejo la ventana abierta, que se escape el calor mientras cuento los kilómetros que le sobran a estas sábanas; y los versos salen solos, como si formaran parte de una canción que nos sabemos de memoria.","""Steel I'm from the head to the feet"" canturrea and I'm crazy about forging him to the bones.Go long and I get entangled in the fingers.I appreciate buying batteries a few days ago because tonight I'm going to let the image of him run to get rid of me.""And when I laugh, the whole world gives me the same"" panturreo remembering the shared birs, knowing how real the hands are and the illusa that is the skin.One of the beers is spilled, I just soaked;And with more imagination than ever, I played the wounds and the desire to taste it.Original image by Malte Sörensen ""And his warmth is like the sun in a cold bed of a winter night"" sounds on my old radio and all the bites we owe ourselves on my smile.Better left the window open, which escapes the heat while I tell the kilometers that are left over to these sheets;And the verses come out alone, as if they were part of a song that we know about memory.",steel head foot canturrea crazy forge bone long entangle finger appreciate buy battery day ago tonight go let image run rid laugh world give panturreo remember share bir know real hand illusa skin beer spill imagination play wound desire taste original image malte warmth like sun cold bed winter night sound old radio bite owe smile well leave window open escape heat tell kilometer leave verse come song know memory,"[0.0425, 0.46499999999999997, 0.053, 0.606, 0.341, 0.9753]",0.0425,0.46499999999999997,0.053,0.606,0.341,0.9753
A destiempo,"Hace cinco años, tres meses y diecisiete días que no cuento las horas que me quedan para vernos. Hace miles de hojas en blanco que no escribo porque no me das las ganas. Hace viento que se lleva las palabras.  Nos hicimos a imagen y semejanza de nuestro reflejo en los charcos. Nos deshicimos desesperando por los 5 minutos tarde que siempre llega la oportunidad.  Hubo un día en el que abrimos el libro por el final para leer un parasiempre que dejamos arder a 451 °F. Hubo un día en el que perdimos el tiempo apostando por la rutina. Hubo un día en el que congelamos las sobras de todo lo que nos hacía falta.  Ayer le dimos la espalda a la noche para no ver llegar el mañana.  Hoy celebro otro feliz no aniversario sin quererte ni pastas.   Ester Sinatxe.","Five years, three months ago and seventeen days that I do not have the hours that I have left to see us.He makes thousands of blank leaves that I do not write because you do not want me.It makes the words wind.We made an image and resemblance of our reflection in the puddles.We got rid of despair for 5 minutes late that always comes the opportunity.There was a day in which we opened the book by the end to read a parastery that we let burn at 451 ° F.There was a day when we lost my time betting on the routine.There was a day in which we freeze the leftovers of everything we needed.Yesterday we turned my back to night to not see tomorrow.Today I celebrate another happy non-anniversary without loving you or pasta.Esther Sinatxe.",year month ago seventeen day hour leave make thousand blank leave write want make word wind image resemblance reflection puddle get rid despair minute late come opportunity day open book end read parastery let burn day lose time bet routine day freeze leftover need yesterday turn night tomorrow today celebrate happy non anniversary love pasta esther sinatxe,"[0.2, 0.54, 0.104, 0.659, 0.237, 0.8885]",0.2,0.54,0.104,0.659,0.237,0.8885
